subfamily,pre1960,post1960,min_size_mm,max_size_mm
COLYMBET_1,149,208,7.5,8.5
COLYMBET_2,64,95,7,8
COLYMBET_3,73,74,7,7.5
COLYMBET_4,61,44,9,9
COLYMBET_5,6,4,9,9.5
COLYMBET_6,47,99,7,7
COLYMBET_7,86,81,7,8
COLYMBET_8,43,31,6,6
COLYMBET_9,3,18,8,8.5
COLYMBET_10,18,23,7,7
COLYMBET_11,13,7,7,8
COLYMBET_12,66,53,11.5,11.5
COLYMBET_13,19,61,9.5,10
COLYMBET_14,66,82,10.5,11.5
COLYMBET_15,16,45,11,11
COLYMBET_16,,,13,15
COLYMBET_17,,,10,11
COLYMBET_18,,,8,8.5
COLYMBET_19,,,7.5,8
COLYMBET_20,,,6,6.5
COLYMBET_21,,,7,7
COLYMBET_22,,,16,18
COLYMBET_23,3,1,9.5,9.5
COLYMBET_24,111,122,9,10
COLYMBET_25,85,161,9,10
COLYMBET_26,30,35,10,11
COLYMBET_27,29,60,10,11
COLYMBET_28,81,93,10,12
DYTISCIN_1,22,38,13,14.5
DYTISCIN_2,20,14,12,13
DYTISCIN_3,1,9,14,16
DYTISCIN_4,0,1,14,16
DYTISCIN_5,13,29,14,16
DYTISCIN_6,117,184,16,18
DYTISCIN_7,11,28,22,25
DYTISCIN_8,29,19,27,32
DYTISCIN_9,26,41,26,32
DYTISCIN_10,8,18,32,38
DYTISCIN_11,134,291,26,32
HYDROPOR_1,109,59,3,3
HYDROPOR_2,7,8,2.3,2.7
HYDROPOR_3,22,10,2.5,2.5
HYDROPOR_4,61,40,2,2.3
HYDROPOR_5,129,126,2,2.4
HYDROPOR_6,102,85,3,3
HYDROPOR_7,43,12,4.5,4.5
HYDROPOR_8,139,130,4,4.3
HYDROPOR_9,28,35,4.5,4.5
HYDROPOR_10,60,65,4,4
HYDROPOR_11,153,265,3,3
HYDROPOR_12,22,23,4,4
HYDROPOR_13,10,19,5,5
HYDROPOR_14,19,5,2,2.5
HYDROPOR_15,107,154,4.5,5
HYDROPOR_16,44,19,2,2
HYDROPOR_17,10,2,1.5,1.5
HYDROPOR_18,13,1,2,2
HYDROPOR_19,10,20,2,2
HYDROPOR_20,165,253,3,3
HYDROPOR_21,29,18,4,4
HYDROPOR_22,67,58,4,4
HYDROPOR_23,73,31,3,3.5
HYDROPOR_24,70,96,5,5
HYDROPOR_25,49,22,4,4
HYDROPOR_26,,,3.2,3.5
HYDROPOR_27,,,3.4,11
HYDROPOR_28,,,3.8,5.2
HYDROPOR_29,76,244,2.8,3.3
HYDROPOR_30,86,185,3,3.5
HYDROPOR_31,0,7,3,3.8
HYDROPOR_32,188,420,3.7,4.5
HYDROPOR_33,33,47,3.5,4.2
HYDROPOR_34,1,9,3,3.4
HYDROPOR_35,159,345,3.5,4.1
HYDROPOR_36,67,277,3.3,3.8
HYDROPOR_37,31,19,3.5,4.5
HYDROPOR_38,61,147,3,3.5
HYDROPOR_39,1,3,3,3.5
HYDROPOR_40,62,113,3.3,3.5
HYDROPOR_41,11,33,2.2,2.6
HYDROPOR_42,135,384,2.8,3.5
HYDROPOR_43,119,233,2.5,3.1
HYDROPOR_44,41,25,3.3,4.2
HYDROPOR_45,228,804,3.3,3.8
HYDROPOR_46,145,494,4,4.6
HYDROPOR_47,23,25,4,5.3
HYDROPOR_48,5,7,1.7,2.2
HYDROPOR_49,81,251,3,3.4
HYDROPOR_50,,388,3.4,3.8
HYDROPOR_51,111,280,2.8,3.3
HYDROPOR_52,84,254,2.5,2.9
HYDROPOR_53,70,119,4.5,5.5
HYDROPOR_54,,204,4.5,5.2
LACCOPHI_1,75,75,4,4.5
LACCOPHI_2,132,158,4,4.5
LACCOPHI_3,6,4,3,3
NOTERIDA_1,81,141,4,5
NOTERIDA_2,23,39,3.5,4