replicate,std,drp,tp,nh4
1,0.00,0,-0.002,0.008
2,0.00,0,-0.002,0.008
1,0.005,0.002,-0.001,
2,0.005,0.006,-0.001,
1,0.01,0.004,0,0.018
2,0.01,0.003,0,0.018
1,0.02,0.006,0.002,0.02
2,0.02,0.006,0.003,0.02
1,0.03,,0.011,0.026
2,0.03,,0.011,0.026
1,0.04,,0.023,0.037
2,0.04,,0.023,0.037
1,0.05,0.015,0.049,0.055
2,0.05,0.015,0.048,0.055
1,0.06,,0.1,0.066
2,0.06,,0.099,0.064
1,0.08,,0.15,0.125
2,0.08,,0.15,0.124
1,0.10,0.031,0.202,0.18
2,0.10,0.031,0.198,0.178
1,0.20,0.061,0.254,0.233
2,0.20,0.061,0.251,0.236
1,0.40,0.121,,
2,0.40,0.121,,
1,0.60,0.184,,
2,0.60,0.181,,
1,0.80,0.242,,
2,0.80,0.242,,
1,1.00,0.302,,
2,1.00,0.297,,